review_text,processed_text,label,source
Giày đẹp giao nhanh như tên lửa luôn.,giày đẹp giao tên_lửa,1,tiki_sentiment
Chất lượng sản phẩm tuyệt Thời gian giao hàng rất nhanh Rất đáng tiền.,chất_lượng sản_phẩm tuyệt_thời_gian giao hàng tiền,1,tiki_sentiment
73950076520,73950076520,1,dduongdev_shopee_raw
Lần thứ 4 mua hàng từ shop và rất ưng ý =).,mua hàng shop ưng_ý,1,tiki_sentiment
Điều tối kị nhất là rách.,tối_kị rách,0,tiki_sentiment
"Chất lượng sản phẩm tạm được màu sắc ko như hình giới thiệu sp, Chất lượng sản phẩm rất kém Đóng gói sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền Rất không đáng tiền Rất không đáng tiền Rất không đáng tiền Rất không đáng tiền Rất không đáng tiền Rất không đáng tiền Rất không đáng tiền.",chất_lượng sản_phẩm tạm màu_sắc hình giới_thiệu sản_phẩm chất_lượng sản_phẩm kém đóng_gói sản_phẩm kém shop phục_vụ kém tiền tiền tiền tiền tiền tiền tiền tiền,0,tiki_sentiment
"Áo đẹp, vải đẹp lắm.",áo đẹp vải đẹp,1,tiki_sentiment
"chất lượng sản phẩm tốt, hợp giá tiền.",chất_lượng sản_phẩm tốt_hợp giá tiền,1,tiki_sentiment
"Shop đóng gói cẩn thận, sổ lại đẹp nữa.",shop đóng_gói cẩn_thận sổ đẹp,1,tiki_sentiment
"váy đẹp, chất mặc dễ chịu.",váy đẹp chất mặc dễ_chịu,1,tiki_sentiment
15715787478,15715787478,0,dduongdev_shopee_raw
"Nhanh,chuẩn!",chuẩn,1,tiki_sentiment
Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn nhưng không có hộp đựng.,tiền đóng_gói sản_phẩm đẹp chắc_chắn hộp đựng,1,tiki_sentiment
Bề ngang áo chật.,bề ngang áo chật,0,tiki_sentiment
17196092074,17196092074,0,dduongdev_shopee_raw
33187713356,33187713356,0,dduongdev_shopee_raw
Hơn hẳn những sim ghép mình từng sử dụng.,hẳn sim ghép sử_dụng,1,tiki_sentiment
Mặc vào rất thoải mái.,mặc thoải_mái,1,tiki_sentiment
Đáng đồng tiền Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn mãi ủng hộ shop.,đồng_tiền thời_gian giao hàng chất_lượng sản_phẩm đóng_gói sản_phẩm chắc_chắn mãi ủng_hộ shop,1,tiki_sentiment
85548423840,85548423840,0,dduongdev_shopee_raw
Ủng hộ shop.,ủng_hộ shop,1,tiki_sentiment
Màu k dc đẹp như hình.,màu đẹp hình,1,tiki_sentiment
16685357796,16685357796,0,dduongdev_shopee_raw
Chất lượng sản phẩm tuyệt vời áo rất đẹp Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn.,chất_lượng sản_phẩm tuyệt_vời áo đẹp_shop phục_vụ đóng_gói sản_phẩm đẹp chắc_chắn,1,tiki_sentiment
43546814440,43546814440,0,dduongdev_shopee_raw
82925803134,82925803134,1,dduongdev_shopee_raw
"Túi đẹp, chắc chắn.",túi đẹp chắc_chắn,1,tiki_sentiment
Sản phẩm mk rất ưng ý.,sản_phẩm ưng_ý,1,tiki_sentiment
hai long san pham.,hai long san pham,1,tiki_sentiment
Thanks shop nhen!,thanks shop nhen,1,tiki_sentiment
30356874143,30356874143,1,dduongdev_shopee_raw
Form áo nhỏ chứ ko phải áo dáng rộng.,form áo áo_dáng rộng,0,tiki_sentiment
"Chất lượng sản phẩm tuyệt vời, mua k biết lần thứ bao nhiêu rồi.",chất_lượng sản_phẩm tuyệt_vời mua bao_nhiêu,1,tiki_sentiment
Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém Chất lượng sản phẩm rất kém.,chất_lượng sản_phẩm kém chất_lượng sản_phẩm kém chất_lượng sản_phẩm kém,0,tiki_sentiment
Mặc bị xù.,mặc xù,0,tiki_sentiment
Chất vải rất xấu mỏng và ráp.,chất vải xấu mỏng ráp,0,tiki_sentiment
Giao hàng rắt nhanh.,giao hàng rắt,1,tiki_sentiment
14379749795,14379749795,1,dduongdev_shopee_raw
Chất lượng sản phẩm tuyệt vời.lần sau sẽ ủng hộ tiếp.,chất_lượng sản_phẩm tuyệt_vời ủng_hộ tiếp,1,tiki_sentiment
Áo đẹp 😍.,áo đẹp,1,tiki_sentiment
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh wa ok.,đóng_gói sản_phẩm đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời shop phục_vụ tiền thời_gian giao hàng wa,1,tiki_sentiment
Vừa bóc hàng ra là mình đã vô cùng bất ngờ vì áo quá đẹp mà lại rẻ như vậy.,bóc hàng vô_cùng bất_ngờ áo đẹp mà_lại rẻ như_vậy,1,tiki_sentiment
"Thời gian giao hàng rất nhanh, túi hơi mỏng.",thời_gian giao hàng túi hơi mỏng,1,tiki_sentiment
Áo mang rất đẹp và chuẩn dáng người ae nào có mua thì tranh thủ mua để hết hàng nhé..,áo đẹp chuẩn_dáng anh_em mua tranh_thủ mua hàng,1,tiki_sentiment
81157148925,81157148925,1,dduongdev_shopee_raw
Chất đẹp 😍.,chất đẹp,0,tiki_sentiment
Áo đẹp đầy dặn hơn áo màu trắng Rất đáng tiền.,áo đẹp dặn áo màu trắng tiền,1,tiki_sentiment
Giao hàng siêu tốc.,giao hàng siêu_tốc,1,tiki_sentiment
Mình mua hai áo vô cùng thích.,mua hai áo vô_cùng,1,tiki_sentiment
Chị chủ rất de thương.,chủ de_thương,1,tiki_sentiment
"Mn ngực bé không nên chọn lọai này, mặc không đẹp đâu.",ngực bé mặc đẹp,1,tiki_sentiment
"Chất lượng sản phẩm tuyệt vời,y hình ạ, ủng hộ shop.",chất_lượng sản_phẩm tuyệt_vời y_hình ủng_hộ shop,1,tiki_sentiment
"Áo đẹp như hình luôn, ưng lắm shop ạ 😘😘😘.",áo đẹp hình ưng shop,1,tiki_sentiment
Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀.,đô mă vư thun hơi ôm dê thâ y_bu ng,1,tiki_sentiment
"Sản phẩm rất đẹp, màu sáng giống hình.",sản_phẩm đẹp màu hình,1,tiki_sentiment
43072010542,43072010542,0,dduongdev_shopee_raw
Kiểu dáng y hình.,kiểu_dáng y_hình,1,tiki_sentiment
"Hàng in ổn, chất vải nhiều nilon.",hàng in ổn chất vải nilon,1,tiki_sentiment
82028947397,82028947397,0,dduongdev_shopee_raw
máy sử dụng tốt.,máy sử_dụng,1,tiki_sentiment
Chất lượng ok Chất lượng sản phẩm tuyệt vời.,chất_lượng chất_lượng sản_phẩm tuyệt_vời,1,tiki_sentiment
"5 sao cho shop, không chê vào đâu được.",shop chê,1,tiki_sentiment
88482980092,88482980092,1,dduongdev_shopee_raw
Áo bị bẩn như kiểu dính mực ở 1 bên ống tay.,áo bẩn kiểu dính_mực ống_tay,0,tiki_sentiment
Giá rẻ quá thì chấp nhận chất lượng tốt không thể đi kèm.,giá rẻ chấp_nhận chất_lượng không_thể đi kèm,1,tiki_sentiment
Váy đẹp .,váy đẹp,1,tiki_sentiment
Hang rat dep nha shop.,hang rat dep nha shop,1,tiki_sentiment
Quần xinhh lắm ạ ^^.,quần xinhh,1,tiki_sentiment
Nhưng ít ra k nên để tiêu đề và mô tả sản phẩm như vậy.,ít_ra tiêu_đề mô_tả sản_phẩm như_vậy,0,tiki_sentiment
"Rất đáng tiền, chủ shop cũng rất đáng yêu :3.",tiền chủ_shop yêu,1,tiki_sentiment
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm chắc chắn.,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm chắc_chắn,1,tiki_sentiment
Chất lượng hợp với giá.,chất_lượng hợp giá,1,tiki_sentiment
Thun tốt.,thun,1,tiki_sentiment
áo cũng đẹp chỉ là hơi bé chút.,áo đẹp hơi bé chút,1,tiki_sentiment
36157919202,36157919202,0,dduongdev_shopee_raw
17101658223,17101658223,0,dduongdev_shopee_raw
Chất vải phù hợp với giá tiền nhưng phần khoét ở phía tay rộng không ôm vào bắp tay bị xoè ra.,chất vải phù_hợp giá tiền khoét rộng ôm bắp_tay xòe,1,tiki_sentiment
27316141498,27316141498,0,dduongdev_shopee_raw
Áo đep lắm ạ.,áo đep,1,tiki_sentiment
82535957701,82535957701,1,dduongdev_shopee_raw
Quần đẹp lắm nha 💋💋.,quần đẹp nha,1,tiki_sentiment
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn thời_gian giao hàng tiền shop phục_vụ thời_gian giao hàng,1,tiki_sentiment
Áo đẹp lắm shop😊 sẽ tiếp tục ủng hộ.,áo đẹp shop tiếp_tục ủng_hộ,1,tiki_sentiment
Cảm ơn shop đã giao hàng đúng như e đã yêu cầu hàng rất đẹp giao hàng nhanh trên dự kién mk sẽ tiêp tục mua bé Bông 1m5 mk mong hàng sẽ đẹp và chất lượng như này..,cảm_ơn shop giao hàng yêu_cầu hàng đẹp giao hàng dự_kién tiêp_tục mua bé m5 mong hàng đẹp chất_lượng,1,tiki_sentiment
11390370644,11390370644,1,dduongdev_shopee_raw
Quá thất vọng!,thất_vọng,0,tiki_sentiment
Chỉ phần trên và dưới hơi to nên phải gấp vào trong cho gọn.,hơi to gấp gọn,0,tiki_sentiment
84548094332,84548094332,0,dduongdev_shopee_raw
Giao sai màu đã đặt.,giao sai màu,0,tiki_sentiment
"shop gian ăn gian, đặt 2 túi giữ nhiệt chỉ giao 1 túi kiểu hàn quốc màu xanh dương còn 1 túi sọc đỏ kẻ ngang màu đỏ thì không có giao mak vẫn tính giá theo đơn hàng, k hài lòng.",shop gian ăn_gian túi nhiệt giao túi kiểu hàn_quốc màu xanh_dương túi sọc đỏ kẻ ngang màu đỏ giao_mak giá đơn hàng_không hài_lòng,0,tiki_sentiment
90654234448,90654234448,0,dduongdev_shopee_raw
Túi đẹp chắc chắn rất ưng ý.,túi đẹp chắc_chắn ưng_ý,1,tiki_sentiment
"Mua hàng shop nhiều lần rồi, lúc nào cũng hài lòng.",mua hàng shop lúc_nào hài_lòng,1,tiki_sentiment
"Nét chữ không được rõ, sp có mùi hơi kinh.",nét chữ sản_phẩm mùi hơi kinh,0,tiki_sentiment
Sản phẩm đúng giá tiền.,sản_phẩm giá tiền,1,tiki_sentiment
"NGON, NGỌT, KO NHỎ QUÁ ĐÂU NHA, MÌNH THẤY GIÁ NHƯ VẬY LÀ QUÁ RẺ ,5 SAO.",ngon đâu_nha giá như_vậy rẻ,1,tiki_sentiment
Chất lượng sản phẩm tốt Chất lượng sản phẩm tốt Chất lượng sản phẩm tốt.,chất_lượng sản_phẩm chất_lượng sản_phẩm chất_lượng sản_phẩm,1,tiki_sentiment
Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,shop phục_vụ tiền thời_gian giao hàng chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn,1,tiki_sentiment
74657351064,74657351064,0,dduongdev_shopee_raw
Shop phục vụ rất tốt nhanh và cũng cấp thông tin đầy đủ về sản phẩm.,shop phục_vụ thông_tin đầy_đủ sản_phẩm,1,tiki_sentiment
15137050522,15137050522,0,dduongdev_shopee_raw
"Giao thieu hàng,tien nhận đủ,nhắn tin đinh mua thêm kêu trừ tièn món hàng giao thiéu lại,đợi 4 ngay ko trả tin.làm ăn ko uy tính,ghét nhất thể loai này.",giao thieu hàng tien nhắn_tin đinh mua kêu trừ tièn món hàng giao_thiéu đợi làm_ăn uy_tính ghét nhất_thể loai,0,tiki_sentiment
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh, thanks shop, thanks shoppe.",chất_lượng sản_phẩm tuyệt_vời shop phục_vụ thời_gian giao hàng thanks shop thanks shoppe,1,tiki_sentiment
Hàng lỗi chưa mặc mà mở ra đã thấy bị rách vải thì k giống như hình.,hàng lỗi mặc rách vải hình,0,tiki_sentiment
87995733822,87995733822,0,dduongdev_shopee_raw
Quần bị rộng QUÁ.,quần rộng,0,tiki_sentiment
77311663277,77311663277,0,dduongdev_shopee_raw
quần đẹp nhưng đường may k chắc chắn lắm. lấy 2 sz giống nhau mà màu đen nhỏ hơn màu xanh.,quần đẹp đường may chắc_chắn sz màu đen màu xanh,0,tiki_sentiment
giày đẹp hơn sự mong đợi.,giày đẹp mong_đợi,1,tiki_sentiment
"Khuyên mọi người nên chọn Shop uy tín, chế độ bảo hành rõ ràng sẽ đỡ ức chế hơn.",khuyên shop uy_tín_chế_độ bảo_hành rõ_ràng đỡ ức_chế,0,tiki_sentiment
Chất lượng sản phẩm tuyệt vời♥.,chất_lượng sản_phẩm tuyệt_vời,1,tiki_sentiment
Đan cổ áo xấu dư len.,đan cổ_áo xấu_dư len,1,tiki_sentiment
Đóng gói như hình sẽ ủng hộ shops nhiều hơn.,đóng_gói hình ủng_hộ shops,1,tiki_sentiment
Vải đẹp vải rata đẹp giá ok cực xinh cực xinh mọi người ủng hộ shop đi.,vải đẹp vải rata đẹp giá cực xinh_cực xinh_mọi ủng_hộ shop đi,1,tiki_sentiment
Chất liệu ok so với giá.,chất_liệu giá,1,tiki_sentiment
79392916238,79392916238,1,dduongdev_shopee_raw
Ốp bị trầy,ốp trầy,0,tiki_sentiment
"Shop phục vụ rất tốt Shop phục vụ rất tốt, giao hàng nhanh, sp chất lượng.",shop phục_vụ tốt_shop phục_vụ giao hàng sản_phẩm chất_lượng,1,tiki_sentiment
"Shop phục vụ rất tốt, ship nhanh, chất áo phù hợp với giá thành khi mình mua là 120k/áo.",shop phục_vụ giao hàng chất áo phù_hợp giá_thành mua 120 áo,1,tiki_sentiment
Không hiểu shop cho check hàng trc khi gửi k.,shop check hàng trc gửi,0,tiki_sentiment
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt/.,chất_lượng sản_phẩm đóng_gói sản_phẩm chắc_chắn shop phục_vụ,1,tiki_sentiment
74606772276,74606772276,0,dduongdev_shopee_raw
84532770480,84532770480,1,dduongdev_shopee_raw
Giày xinh...các con đi đẹp ạ!,giày xinh đi đẹp,1,tiki_sentiment
😘😘đã giới thiệu shop cho mấy nguoi ban nữa đo😊😊.,giới_thiệu shop mấy nguoi ban đo,1,tiki_sentiment
81164147824,81164147824,1,dduongdev_shopee_raw
"Chất lượng sp tốt, đóng gói kỹ càng Đóng gói sản phẩm rất đẹp và chắc chắn.",chất_lượng sản_phẩm đóng_gói kỹ_càng đóng_gói sản_phẩm đẹp chắc_chắn,1,tiki_sentiment
Vải hơi thô và mặc cảm giác ngứa.,vải hơi thô mặc cảm_giác ngứa,0,tiki_sentiment
Đóng gói sp tốt.,đóng_gói sản_phẩm,1,tiki_sentiment
60519320258,60519320258,1,dduongdev_shopee_raw
Áo đc shop ghi là mặc được dưới 53kg nhưng lại nhỏ giống size XS.,áo shop ghi mặc 53 kg size xs,0,tiki_sentiment
Đồ xinh lắm với cả giao hàng nhanh nữa 😘.,đồ xinh giao hàng,1,tiki_sentiment
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Giay dep cac ban nen mua di.,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn đóng_gói sản_phẩm đẹp chắc_chắn shop phục_vụ tiền thời_gian giao hàng thời_gian giao hàng giay dep cac ban nen mua di,1,tiki_sentiment
Sản phẩm chất lượng tốt rất ưng ý.,sản_phẩm chất_lượng ưng_ý,1,tiki_sentiment
Màu nhạt hơn ảnh chút.,màu nhạt ảnh chút,1,tiki_sentiment
Quần không giống mẫu.,quần mẫu,0,tiki_sentiment
Còn nhiều keo và đường viết bạc.,keo đường viết bạc,0,tiki_sentiment
Trc mắt là ổn.,trc mắt ổn,1,tiki_sentiment
12885357548,12885357548,0,dduongdev_shopee_raw
Giá cao hơn các shop khác.,giá shop,0,tiki_sentiment
Màu áo không hề giống hình shop đăng.,màu áo hề hình_shop đăng,0,tiki_sentiment
Nhưng mà tay áo không đồng đều cho lắm ạ.,nhưng_mà tay_áo đồng_đều,0,tiki_sentiment
Vải trước đẹp hơn .,vải đẹp,1,tiki_sentiment
Tốt áo đẹp.,áo đẹp,1,tiki_sentiment
Mặc khá đẹp.,mặc đẹp,1,tiki_sentiment
86963054850,86963054850,0,dduongdev_shopee_raw
Chat lieu tuong doi phu hop voi gia.,chat lieu tuong doi_phu hop voi gia,1,tiki_sentiment
hình ảnh k đk sắc nét lắm.,hình_ảnh đk_sắc nét,0,tiki_sentiment
"Cảm ơn shop, sẽ tin tưởng và ủng hộ tiếp.",cảm_ơn shop tin_tưởng ủng_hộ tiếp,1,tiki_sentiment
- Shop giao hàng rất nhanh.,shop giao hàng,1,tiki_sentiment
Áo đẹp chất lượng vải mịn mát .,áo đẹp chất_lượng vải mịn mát,1,tiki_sentiment
Đẹp ...Đeo ban đẹp troai.,đẹp đeo ban đẹp troai,1,tiki_sentiment
68663880006,68663880006,0,dduongdev_shopee_raw
Sáng sớm đặt chiều nhận đc ngay.,chiều,1,tiki_sentiment
Mua lần nào cũng ưng 😍 Shop phục vụ rất tốt Thời gian giao hàng rất nhanh.,mua ưng_shop phục_vụ thời_gian giao hàng,1,tiki_sentiment
Chất lượng sản phẩm tuyệt vờii Thời gian giao hàng rất nhanh.,chất_lượng sản_phẩm tuyệt_vờii thời_gian giao hàng,1,tiki_sentiment
Mang bị hở gót Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh.,hở_gót đóng_gói sản_phẩm đẹp chắc_chắn tiền thời_gian giao hàng,1,tiki_sentiment
Giao hàng rất nhanh và đóng gói rất cẩn thận.,giao hàng đóng_gói cẩn_thận,1,tiki_sentiment
"Gửi hàng cho mình thiếu 1 áo len, 1 bộ ngủ mình châm trc k yêu cầu gửi thêm hàng, YC shop bắn trả số tiền hàng thiếu của mình.",gửi hàng áo len ngủ châm trc yêu_cầu gửi hàng yc shop bắn tiền hàng,0,tiki_sentiment
Phím chỉnh đồng hồ giây.,phi chi nh đô ng hô_giây,0,tiki_sentiment
rất tệ... ko như quảng cáo.,tệ quảng_cáo,0,tiki_sentiment
79377865524,79377865524,0,dduongdev_shopee_raw
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.bị sổ chỉ tí . yêu cầu shop kt kỹ trước khi giao khách.cho shop 5 *.,chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp chắc_chắn sổ tí yêu_cầu shop kt kỹ giao shop,1,tiki_sentiment
16356205815,16356205815,0,dduongdev_shopee_raw
"Quần đẹp, y hình.",quần đẹp y_hình,1,tiki_sentiment
Chưa đầy 24h nhưng đã có áo💋💋💋💋💋.,24 áo,1,tiki_sentiment
Rất hài lòng so với mức giá.,hài_lòng giá,1,tiki_sentiment
"Quần k k đẹp lắm, chấp nhận dc Chất lượng sản phẩm tạm được.",quần đẹp chấp_nhận chất_lượng sản_phẩm tạm,1,tiki_sentiment
90517126183,90517126183,1,dduongdev_shopee_raw
"Chất lượng sản phẩm tuyệt vời, anh chủ tiệm hướng dẫn tận tình, Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh, đug như đã ns giao trước 1 ngày.",chất_lượng sản_phẩm tuyệt_vời chủ tiệm hướng_dẫn tận_tình đóng_gói sản_phẩm đẹp chắc_chắn thời_gian giao hàng nhanh_đug ns giao,1,tiki_sentiment
Vô cùng tuyệt vơi K còn gì để chê quá tuyệt vời cảm ơn shop Thờin giao hàng rất nhanh Rất đáng tiền Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời.,vô_cùng tuyệt_vơi chê tuyệt_vời cảm_ơn shop thờin giao hàng tiền chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời,1,tiki_sentiment
79215396453,79215396453,0,dduongdev_shopee_raw
Thất vọng!!,thất_vọng,0,tiki_sentiment
32994613791,32994613791,0,dduongdev_shopee_raw
Nhưng có anh giao hàng gọi em hôm trước mà hôm sao mới giao hàng cho em.,giao hàng gọi hôm hôm giao hàng,0,tiki_sentiment
Giày xinhhh hộp đẹp chất okkk chủ shop rep nhanhhh sẽ ủng hộ lần 2222222.,giày xinhhh hộp đẹp chất okkk chủ shop rep nhanhhh ủng_hộ 2222222,1,tiki_sentiment
